toi,tfopwg_disp,pl_tranmid,st_tmag,st_logg,TESS Mag,tfopwg_disp_encoded,ratio_eqt_teff,ratio_pl_orbper,ratio_pl_eqt,st_mass_est,log_pl_rade,log_pl_eqt,log_pl_orbper,log_TSM,log_st_teff,log_st_rad,log_Predicted Mass (M_Earth),log_pl_trandurh,log_pl_trandep,log_pl_insol,log_st_dist,log_ESM,log_ratio_pl_st_rad,log_ratio_rade_eqt
1793.01,CP,2460017.429,7.8436,4.51,7.8436,1,0.1085990337954398,0.0792635271613352,0.0077693772103747,0.8932455842180161,1.6801554291983856,6.333279628139691,4.026904056620066,4.8064770426931265,8.551787836180736,0.6259384308664953,2.9183111265854063,1.903449908580751,7.828038032125829,2.867324873684984,3.637430884513919,1.6094379124341003,1.6131976979114735,-4.857436568757179
1795.01,FP,2458899.61,10.0721,4.36,10.0721,0,0.2364695316691698,2.149231169469961,0.0041795620756608,1.1294712691079425,1.9459396629054897,7.270039032996662,1.332838493212837,4.778282803696737,8.711443319075466,0.771362064935633,3.4404180948154366,0.9027698959474143,6.9275354972037055,6.912579467848377,5.215886392568877,3.265759410767051,1.6410397483614398,-5.477309573624029
1796.01,KP,2459639.963,8.40346,4.8,8.40346,1,0.1718904395625317,1.4418598740203152,0.0064171238726347,0.4164785891046907,1.5711364886048778,6.388651081020463,1.2930505848324598,6.644440562978651,8.148156439921625,0.3544749256722812,2.706048198431537,0.677489689304662,8.764944301479453,3.4155014818183345,2.375204314651339,4.60816569496789,2.192831807683211,-5.048629435665102
1797.01,CP,2459631.901,8.6259,4.43,8.6259,1,0.1930091185084415,0.8211555505760398,0.0026187576530019,1.082208575114426,1.3846029314589123,7.042286171939743,1.5358247193954637,4.688591794127164,8.686598356276965,0.7178397931503169,2.327277705584417,1.1167795926235586,6.660575149839686,5.651502728973235,4.42296702218541,2.5416019934645457,1.0475656469997787,-5.944673464341651
1797.02,CP,2459635.926,8.6259,4.43,8.6259,1,0.3252279634709172,1.4810065304763758,0.0007978764274154,1.082208575114426,0.9308679658453838,7.563719668414366,0.7117779940995048,4.229749199228304,8.686598356276965,0.7178397931503169,1.3812818192963463,0.9508853766386541,5.351858133476067,7.735743619047359,4.42296702218541,1.9600947840472698,0.38085333423740597,-7.132304283213513
1800.01,KP,2459632.338,11.1065,4.24009,11.1065,1,0.2287894923271584,3.012473583667175,0.0096391776496204,1.0063833961353428,2.597111191577614,7.162397497355718,1.634029700429648,4.973279507552487,8.636752426473876,0.8153648132841945,4.649474111544616,1.518856534202862,9.16858043772795,6.132404056748145,5.6286206140237205,3.960813169597578,2.288590110456043,-4.641815742145624
1801.01,CP,2459648.62,9.85623,4.69775,9.85623,1,0.1321100917084901,0.1868584465366418,0.0039462499921701,0.5500570707019933,1.094908772443656,6.22455842927536,2.4547857441792877,4.200204952921578,8.246958032568177,0.4382549309311553,1.715598108262491,1.3118401751949431,7.123672785204607,2.4619450381506534,3.455672940603887,1.2809338454620645,1.2854222090885932,-5.53473614704591
1807.01,CP,2459664.071,9.0363,4.56172,9.0363,1,0.3698252109001265,2.801458395146449,0.0009021336454266,0.7279739055280845,0.9317860568323951,7.442492722794441,0.43784839669440606,4.796616650559047,8.436848271414489,0.5538851132264376,1.3862943611198906,0.6328662496750154,5.916202062607435,7.250081774512228,3.7745409621068835,2.7536607123542622,0.7322630676753977,-7.009640013918597
1808.01,FP,2458900.911,11.6735,4.13453,11.6735,0,0.2986040825077847,5.58510398879507,0.0062060617097972,1.2599993557810811,2.5471466563637204,7.54836186496739,1.1338185765829378,4.55597994179732,8.756628901811412,0.9524452104697201,4.563931437971494,1.0679291042123975,8.356360909551844,8.025878920504,6.324210205797886,3.56953269648137,2.0005892788839685,-5.082067649631749
1809.01,KP,2459659.915,11.5384,4.36164,11.5384,1,0.2209763670483049,2.7004455591141268,0.0097330991336978,1.033280730260166,2.600323926278688,7.156176637480615,1.7258069533153355,4.948050418904635,8.6652683094816,0.7466879474879752,4.666265285347902,1.5162255307119217,9.410092463833022,6.10662191649543,5.7748123810890775,3.8372994592322094,2.4188125552080253,-4.632120183351335
1810.01,KP,2459662.702,11.6281,4.36832,11.6281,1,0.3054877993347516,11.655485986656714,0.0091166175550285,0.9750343771872516,2.801595187505319,7.437206366871292,0.8447295078488153,4.892602227184663,8.622642703113799,0.7275486072772778,5.762051382780177,1.1259031489040134,9.844321241866913,7.229208144561073,5.688394687595554,4.989752083179832,2.6713013261191016,-4.697546742024442
1811.01,CP,2459661.05,11.1237,4.49738,11.1237,1,0.161474888713398,3.15682077835784,0.0153825459115714,0.7521118138692865,2.543293475487727,6.637258031284457,1.5503395215844284,5.565286397402276,8.459564078579602,0.5933268452777344,4.5612182984589085,0.9760679359100157,9.883845912280838,4.0426002889658825,4.8615937625371,4.539030383483547,2.672144628159815,-4.174456788059828
1813.01,FP,2458684.127,9.91892,4.0,9.91892,0,0.2461980562064192,3.7040805713276046,0.001938268851188,1.2347186802864902,1.375198023852147,7.330405211844402,0.5866749360494286,3.754198920234579,8.731530077642203,1.0438040521731147,2.305580601973844,0.5181983780954038,5.25227342804663,6.801880186507923,5.655998803802395,2.0014800002101243,0.4740241480587276,-6.245444257775257
1815.01,FP,2460559.905,10.8946,3.77,10.8946,0,0.3500154942128888,8.027446912007163,0.0090804780836297,1.3207959675904204,3.0686481068210147,7.723120092266331,1.2684484484867915,4.635699391022914,8.772610303280743,1.247032293786383,5.762051382780177,1.814824742159051,8.787372988731876,8.373198101903036,6.426865409056231,4.3528552573736015,2.112790239035327,-4.701518315076185
1820.01,CP,2459661.328,10.5268,4.16,10.5268,1,0.1991969817245514,2.3509496831097905,0.009928062545675,1.03320962691732,2.5198876186832457,7.049254841255837,1.7682644434109587,4.935193098929397,8.662020543782612,0.8754687373538999,4.514479320703588,1.2897834607390468,8.722742874329398,5.681008437089846,5.51947494712719,3.8628327612373745,2.099523650026102,-4.612289211658044
1821.01,KP,2459664.085,6.9859,4.6,6.9859,1,0.1382812499729919,0.2561194005377053,0.0034327683567333,0.8608229223338515,1.2326768724542911,6.5638555265321274,2.350357892204156,5.333684510385328,8.54110501146255,0.5709795465857378,2.017566137961748,1.3236207665918318,6.846943139585379,3.759431110064881,3.116258210681069,2.639057329615259,1.1494196351139612,-5.674096974596513
1826.01,CP,2459761.726,11.2086,4.31,11.2086,1,0.2183320391601919,3.1340707823055225,0.0109732793858148,0.9952982189861582,2.6377180903774486,7.0766440924237095,1.6374383165377906,5.10230248262208,8.597721934801433,0.7683195860034957,4.72862598991501,1.2181612900147039,9.223448205735586,6.139567674224,5.585265419673533,4.087655574071304,2.4184193794247735,-4.51220098178344
1827.01,CP,2459691.149,8.8223,4.89,8.8223,1,0.1939227105265627,0.9025433502371994,0.0020710285577537,0.3110470380333652,0.8433498199790653,6.4620354791570485,0.9030510731086332,3.8308129500026027,8.101071503119543,0.2862850971359813,1.1969481893889715,0.6966068390340148,7.347062796394885,3.7011097087171065,2.2054418341264035,3.152736022363656,1.384971909949541,-6.1792271719802185
1828.01,CP,2459918.438,11.1315,4.07,11.1315,1,0.1770894822429442,0.890506793017545,0.0079395882275102,1.042753291535342,2.2080963756969894,6.928537818164665,2.3119534624613234,3.8607297110405954,8.658831632934657,0.9400072584914712,3.9398327060674134,1.6843598389513597,7.852050207265889,5.1999986656792565,5.916164326046363,2.4423470353692043,1.6469777720200687,-4.8357679223978876
1830.01,FP,2459680.306,7.0166,4.37297,7.0166,0,0.1705346474294099,1.8611544054281304,0.0168721037841778,1.2602976119083298,2.955170661797868,6.984716320118265,2.377837499318808,6.68311060154166,8.752764793577906,0.7929925155296614,5.762051382780177,1.5551928975817046,9.905535454153428,5.421384196124677,3.937881767070619,5.983432375410718,2.7110751620381173,-4.082034416882358
1833.01,KP,2459684.731,9.87229,3.99566,9.87229,1,0.266147208388701,4.604899251833041,0.0104808978680641,1.144993856270121,2.890852703334475,7.392539521663334,1.546199814712688,4.912654885736052,8.715793199028758,1.0227242716356526,5.762051382780177,1.6985809325240528,9.057356065620848,7.402516869902458,5.53063074618274,4.742320024135325,2.2566818768680994,-4.558105522203905
1836.01,CP,2460461.725,9.29416,4.12,9.29416,1,0.1714690599635539,0.3112065693618003,0.0058242516016306,1.261718299002891,1.9936943652518282,6.993932975223189,3.062488940598478,4.05871738457895,8.756525002926972,0.9631743177730056,3.5316406776874447,1.9764393540901362,7.231287004327616,5.457783892197531,5.260869880298248,2.1633230256605382,1.3648638445472163,-5.145553087050203
1838.01,KP,2459717.232,12.423,4.28918,12.423,1,0.2676866131171591,6.544269959652499,0.0087925047956993,1.1200127516121652,2.7233900090005423,7.389957146904415,1.1552150926299167,4.799090878625398,8.707443234532313,0.8136775056251662,4.883786286426125,1.347062507904559,9.32136219852938,7.392187331722828,6.357649873651694,3.9473901492654373,2.4273999275650575,-4.7337419214193455
1840.01,KP,2459658.642,9.8469,4.08874,9.8469,1,0.2301308649489098,1.8209677426550157,0.0099074895909102,1.2179802921132463,2.726976627653142,7.274479558773871,2.179921008124867,4.3054155323020415,8.743053050224676,0.9745596399981308,5.762051382780177,1.9303613186656832,8.85666093701725,6.578122797812426,5.487804853293519,4.050044303325521,2.158546256530849,-4.614363354878808
1841.01,KP,2459688.443,12.4474,4.34437,12.4474,1,0.2007757332711438,3.573050627633205,0.0149643622054874,0.8550210799867699,2.795352646838333,6.93537044601511,1.6679327384329374,4.189654742026425,8.540159436642849,0.708035793053696,5.762051382780177,1.3817842056420047,10.001113231320568,5.226386254084301,5.8546420303852456,4.046553898385752,2.702753747143732,-4.202016934463031
1842.01,CP,2459680.103,9.26733,3.87646,9.26733,1,0.1975470155032629,1.3051660650848536,0.0103440397265363,1.1531879477144305,2.6023637063930596,7.097548850614793,2.3583937223958187,4.825910852685991,8.718663567048953,1.11514159061932,4.664382045619938,1.643259460909611,8.061802274538348,5.873916171416795,5.413719793023874,3.708682081410116,1.8075364654444526,-4.571248127624164
1843.01,FP,2458931.121,12.6445,4.26,12.6445,0,0.1678401449163856,1.388475338325065,0.0127089026069785,1.0791678058108511,2.617415058926629,6.908075450721695,2.3171694424557256,4.046553898385752,8.691986481789401,0.8220679606267847,4.691806492647638,1.7260641904153347,9.079217062504949,5.466747943871889,6.443538076034095,2.8213788864092133,2.2985190205701707,-4.365373856518355
